pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
20,347,2517,2019,1,1,1,1,1,2239,0.0005222337075818,1934,1.00999999046326,Lawalaung,0.234342604875565,23.4342604875565,17.7468433380127,74.1807098388672,8.0724458694458
20,347,2517,2020,1,1,1,1,1,2239,0,1934,0,Lawalaung,0.223207846283913,22.3207846283913,18.612117767334,72.6694869995117,8.7183952331543
20,347,2517,2021,1,1,1,1,1,2239,0,1934,0,Lawalaung,0.215370178222656,21.5370178222656,16.3368377685547,73.5406646728516,10.1224966049194
20,347,2518,2000,0,0,0,0,0,2240,0.0062284381708241,1953,12.1641397476196,Chatra,,,10.2793121337891,68.7124481201172,20.9044647216797
20,347,2518,2001,0,0,0,0,0,2240,0.0104038670193642,1953,20.3187522888184,Chatra,0.539984941482544,53.9984941482544,9.42994022369385,71.9326324462891,18.5312786102295
20,347,2518,2002,0,0,0,0,0,2240,0.0184964474445114,1953,36.1235618591309,Chatra,0.603167951107025,60.3167951107025,10.203818321228,74.5094223022461,15.1732263565063
20,347,2518,2003,0,0,0,0,0,2240,0.0085532856915342,1953,16.7045669555664,Chatra,0.664768159389496,66.4768159389496,9.29229736328125,73.73486328125,16.8401718139648
20,347,2518,2004,0,0,0,0,0,2240,0.0191814405028171,1953,37.461353302002,Chatra,0.646822452545166,64.6822452545166,7.34868764877319,76.3478317260742,16.1835556030273
20,347,2518,2005,0,0,0,0,0,2240,0.0127960845744127,1953,24.9907531738281,Chatra,0.668873369693756,66.8873369693756,6.49370527267456,78.6371994018555,14.7419919967651
20,347,2518,2006,0,0,0,0,0,2240,0.0093476373112879,1953,18.2559356689453,Chatra,0.702910780906677,70.2910780906677,9.07285690307617,74.0169525146484,16.7811641693115
20,347,2518,2007,0,0,0,0,0,2240,0.0064701338151266,1953,12.6361713409424,Chatra,0.674633324146271,67.4633324146271,9.70385456085205,72.6941680908203,17.5042018890381
