park_id,buffer_km,in_out,mean_tc,median_tc,sd_tc,n_pixels,Percent_Tree_Cover
195,10,outer,71.46653231610767,80.0,18.799537866030644,6947,71.46653231610767
195,20,outer,67.92120804365702,79.0,22.792371192820518,26754,67.92120804365702
195,25,outer,67.14722757955641,78.0,26.992198541280246,41480,67.14722757955641
196,5,outer,54.54638029994445,58.0,23.08845131850865,5401,54.54638029994445
196,10,outer,48.835375409602506,48.0,26.296200061361716,14038,48.835375409602506
196,20,outer,49.40901987595839,41.0,38.18953239475964,40954,49.40901987595839
196,25,outer,51.78836675443927,42.0,41.37313728493782,59244,51.78836675443927
197,5,outer,68.01793721973094,69.0,11.153972979782889,1784,68.01793721973094
197,10,outer,63.650353773584904,65.0,12.86593287128567,6784,63.650353773584904
197,20,outer,62.99292443906315,65.0,11.79437071784645,26429,62.99292443906315
197,25,outer,63.84657114360085,65.0,10.88145868415239,41107,63.84657114360085
198,5,outer,32.870189546237796,28.0,19.94401501995733,1741,32.870189546237796
198,10,outer,49.284668260609685,47.0,33.348386310888834,6692,49.284668260609685
198,20,outer,59.48342152346873,63.0,30.728604533098807,26269,59.48342152346873
198,25,outer,62.78202807807073,68.0,27.849725073526862,40886,62.78202807807073
199,5,outer,16.171075609598343,10.0,28.924284316255676,15461,16.171075609598343
199,10,outer,15.12775658022376,10.0,23.02541849721419,30926,15.12775658022376
199,20,outer,15.923742756992631,10.0,19.667059784302676,69895,15.923742756992631
199,25,outer,17.115284834071993,10.0,20.02632833235933,92510,17.115284834071993
200,5,outer,3.0718342799866356,2.0,1.9772812240612994,2993,3.0718342799866356
200,10,outer,2.730244331939247,2.0,1.9353924346310738,9086,2.730244331939247
200,20,outer,2.9527223470331703,3.0,2.4587071207546614,30268,2.9527223470331703
200,25,outer,5.3628370063765525,3.0,21.78412780014721,44695,5.3628370063765525
201,5,outer,16.55598885793872,12.0,11.426576145397233,3590,16.55598885793872
201,10,outer,14.71214320270924,11.0,10.65798793961384,10335,14.71214320270924
201,20,outer,17.20783349328215,11.0,15.714926171232403,33344,17.20783349328215
201,25,outer,19.74441048737333,12.0,18.755050226588025,49736,19.74441048737333
202,5,outer,19.107593811132848,18.0,9.230772882823754,5623,19.107593811132848
202,10,outer,22.920357812725438,19.0,13.106656785812529,13862,22.920357812725438
202,20,outer,29.580048088964585,24.0,17.53044286513407,39926,29.580048088964585
202,25,outer,29.70055196996176,24.0,18.27729516354058,57793,29.70055196996176
203,5,outer,41.79859128117266,42.0,17.269914162909622,5253,41.79859128117266
203,10,outer,39.384409002832015,40.0,17.592790470000597,13418,39.384409002832015
203,20,outer,42.15157365305967,44.0,20.446061221255103,39367,42.15157365305967
203,25,outer,43.28572429006618,46.0,20.00174586185114,57118,43.28572429006618
204,5,outer,88.64783586284429,80.0,54.98948169221097,3558,88.64783586284429
204,10,outer,83.17645904855321,79.0,43.60103749724158,10195,83.17645904855321
204,20,outer,80.94297543138617,80.0,31.329917493626045,33091,80.94297543138617
204,25,outer,80.54441608943979,80.0,27.878362663223072,49374,80.54441608943979
205,5,outer,82.36887686062246,81.0,23.802481198140114,3695,82.36887686062246
205,10,outer,83.00687744770273,80.0,28.395490798384373,10469,83.00687744770273
205,20,outer,83.1494205052006,80.0,31.498424552550475,33650,83.1494205052006
205,25,outer,83.3726187148049,80.0,31.781372090282805,50078,83.3726187148049
206,5,outer,93.24376454938476,81.0,50.345036041326146,3007,93.24376454938476
206,10,outer,85.20501410896462,81.0,40.79714667648336,9214,85.20501410896462
206,20,outer,84.27073077168978,81.0,37.52353402619044,31282,84.27073077168978
206,25,outer,83.69061863543789,81.0,34.274532498311025,47136,83.69061863543789
207,5,outer,48.55115511551155,53.0,15.012267491400655,4545,48.55115511551155
207,10,outer,52.297106794525035,56.0,16.279548076923806,12201,52.297106794525035
207,20,outer,56.280998194410756,59.0,16.167215320190152,37107,56.280998194410756
207,25,outer,57.05377332475411,59.0,16.14655152848639,54395,57.05377332475411
208,5,outer,36.48075654277546,40.0,20.233337901990993,9094,36.48075654277546
208,10,outer,39.28750474743639,44.0,19.62958935291678,21064,39.28750474743639
208,20,outer,41.46906297664333,45.0,21.68147110738905,54417,41.46906297664333
208,25,outer,41.925227242787514,44.0,23.538622684195538,75910,41.925227242787514
209,5,outer,56.15131933225633,62.0,21.260272366108527,1857,56.15131933225633
209,10,outer,65.577505407354,75.0,24.66452663137979,6935,65.577505407354
209,20,outer,72.2592080170512,77.0,30.725504986837475,26743,72.2592080170512
209,25,outer,75.12295674815564,78.0,34.258850808019766,41478,75.12295674815564
210,5,outer,74.59966297544536,80.0,16.62262931593856,4154,74.59966297544536
210,10,outer,71.79678770949721,79.0,19.305461626693553,11456,71.79678770949721
210,20,outer,69.06618265403375,79.0,21.449813224801527,35674,69.06618265403375
210,25,outer,69.37083626275486,79.0,25.548850798793996,52627,69.37083626275486
211,5,outer,49.287350054525625,53.0,12.539524568419584,1834,49.287350054525625
211,10,outer,49.718768158047645,53.0,14.495403583098136,6884,49.718768158047645
211,20,outer,52.8630599534779,56.0,14.136470749045557,26654,52.8630599534779
211,25,outer,52.813341389728095,56.0,13.913300325041954,41375,52.813341389728095
212,5,outer,77.18406454866364,80.0,7.429677593787209,1983,77.18406454866364
212,10,outer,78.41083112905471,80.0,6.2602235729987035,7183,78.41083112905471
212,20,outer,79.5794807769985,80.0,22.861691351215942,27233,79.5794807769985
212,25,outer,79.81751668764996,80.0,23.207732739367916,42097,79.81751668764996
213,5,outer,70.33763014377789,79.0,18.735391914751855,2017,70.33763014377789
213,10,outer,67.993931871466,79.0,19.845645343112114,7251,67.993931871466
213,20,outer,66.63841519079789,78.0,26.724423962410647,27385,66.63841519079789
213,25,outer,66.86027481493744,78.0,27.799236371400102,42283,66.86027481493744
214,5,outer,72.7401159725883,81.0,20.986865852485437,1897,72.7401159725883
214,10,outer,73.61996870999857,81.0,17.942783303522354,7031,73.61996870999857
214,20,outer,69.81989377112507,79.0,21.21930252673933,26923,69.81989377112507
214,25,outer,68.29897624014002,78.0,24.96655787477606,41709,68.29897624014002
215,5,outer,74.27292225201073,80.0,17.418490107545576,1865,74.27292225201073
215,10,outer,74.82118729337358,80.0,16.920573728243856,6957,74.82118729337358
215,20,outer,69.84545047398672,80.0,20.58363275854706,26794,69.84545047398672
215,25,outer,68.59360104001155,79.0,22.03629418325014,41538,68.59360104001155
216,5,outer,73.87875593041645,77.0,7.4027917152045415,1897,73.87875593041645
216,10,outer,69.16126279863481,69.0,9.975076506291243,7032,69.16126279863481
216,20,outer,63.695778099587834,66.0,15.962392806419007,26931,63.695778099587834
216,25,outer,59.3223279104871,65.0,20.167674543684836,41737,59.3223279104871
217,5,outer,58.33020833333333,60.0,11.493355143586108,1920,58.33020833333333
217,10,outer,55.53936561880487,59.0,14.018287992410922,7062,55.53936561880487
217,20,outer,51.58017784364579,56.0,15.717883791513582,26990,51.58017784364579
217,25,outer,49.56130483689539,55.0,16.148264714398003,41783,49.56130483689539
218,5,outer,44.16715031921068,41.0,21.421994174712054,1723,44.16715031921068
218,10,outer,50.43343839111511,54.0,19.712035533618852,6663,50.43343839111511
218,20,outer,53.04266198580478,60.0,21.092188617191958,26206,53.04266198580478
218,25,outer,54.81499374647473,61.0,21.015168407743303,40777,54.81499374647473
219,5,outer,52.38397548161121,55.0,22.62643260650631,2284,52.38397548161121
219,10,outer,63.81282117163412,75.0,21.892519501632904,7784,63.81282117163412
219,20,outer,71.52834235881566,77.0,31.165665530004034,28438,71.52834235881566
219,25,outer,76.03645164250321,77.0,35.466312337831965,43592,76.03645164250321
220,5,outer,80.16188118811881,81.0,5.7278227012342855,2020,80.16188118811881
220,10,outer,81.25457547818907,81.0,19.9731243512028,7267,81.25457547818907
220,20,outer,83.84196891191709,81.0,35.97645354043068,27406,83.84196891191709
220,25,outer,83.00959379947541,80.0,33.89505618987984,42319,83.00959379947541
221,5,outer,10.63139120095125,10.0,4.038420016962887,1682,10.63139120095125
221,10,outer,11.904261796042618,11.0,7.307434348208723,6570,11.904261796042618
221,20,outer,13.751353441608662,12.0,12.34461849026244,25860,13.751353441608662
221,25,outer,15.446177460883343,13.0,13.49722045962314,40392,15.446177460883343
222,5,outer,10.562146892655367,10.0,4.090202144508548,1770,10.562146892655367
222,10,outer,11.749222337431492,11.0,7.263645374696813,6751,11.749222337431492
222,20,outer,13.748340581368733,12.0,12.359883501904042,26214,13.748340581368733
222,25,outer,15.490713778843565,13.0,13.487821755041507,40867,15.490713778843565
223,5,outer,57.85868392664509,67.0,31.799728744346446,1854,57.85868392664509
223,10,outer,55.92605938310752,58.0,37.255328589108366,6938,55.92605938310752
223,20,outer,65.09713131615365,76.0,32.783873925627724,26737,65.09713131615365
223,25,outer,66.77660189961911,77.0,30.422594800235892,41482,66.77660189961911
224,5,outer,73.56146341463415,77.0,11.188076309936136,2050,73.56146341463415
224,10,outer,78.45831622176591,79.0,29.87075870314724,7305,78.45831622176591
224,20,outer,82.79919255110205,80.0,32.846750383693966,27494,82.79919255110205
224,25,outer,81.94910257317389,80.0,32.242905380340225,42399,81.94910257317389
225,5,outer,13.363821968150265,11.0,8.617189526723697,2449,13.363821968150265
225,10,outer,12.738612386744446,10.0,8.423870155309064,8057,12.738612386744446
225,20,outer,15.757878766981587,12.0,12.081538919925261,29002,15.757878766981587
225,25,outer,16.5908669605516,12.0,13.672294956530413,44235,16.5908669605516
226,5,outer,75.82118510749869,79.0,10.271664511215723,1907,75.82118510749869
226,10,outer,80.30898476434572,80.0,28.374595771323563,7023,80.30898476434572
226,20,outer,83.10595706751839,80.0,33.58508907010561,26926,83.10595706751839
226,25,outer,82.52333109533858,80.0,33.552470174578005,41704,82.52333109533858
227,5,outer,55.17737003058104,59.0,13.809027230130518,3924,55.17737003058104
227,10,outer,52.81383316692384,57.0,14.573688934856266,11017,52.81383316692384
227,20,outer,54.608202743814935,58.0,16.742129752918586,34842,54.608202743814935
227,25,outer,56.444985073469546,59.0,16.672202088614167,51586,56.444985073469546
228,5,outer,51.855744835085176,58.0,18.615280414075393,5518,51.855744835085176
228,10,outer,46.56600671860482,49.0,19.88539962395096,13991,46.56600671860482
228,20,outer,41.38036264956211,43.0,20.90467983007168,40535,41.38036264956211
228,25,outer,39.64037736492826,40.0,20.964188424278802,58617,39.64037736492826
229,5,outer,12.858051556745899,8.0,16.699158513354607,8961,12.858051556745899
229,5,inner,9.792217510601148,7.0,15.338338693299686,4009,9.792217510601148
229,10,outer,13.732773109243697,9.0,17.019604376312383,20825,13.732773109243697
229,20,outer,12.921401532809965,9.0,16.146257111998917,53627,12.921401532809965
229,25,outer,13.01036912482985,9.0,15.267744565491322,74934,13.01036912482985
230,5,outer,45.17573483427142,43.0,20.37046843005257,3198,45.17573483427142
230,10,outer,44.64663536776213,44.0,20.75630556124976,9585,44.64663536776213
230,20,outer,43.930612372357366,45.0,19.572146372203147,32023,43.930612372357366
230,25,outer,41.01756028545867,42.0,20.499363340512655,48063,41.01756028545867
231,5,outer,10.912455232789494,9.0,7.6495239677013105,2513,10.912455232789494
231,10,outer,9.961809778642666,9.0,6.349391015666314,8222,9.961809778642666
231,20,outer,9.141712983740119,8.0,10.497358761487002,28967,9.141712983740119
231,25,outer,9.00434674333839,8.0,10.635196496935537,44171,9.00434674333839
232,5,outer,73.11696202531645,81.0,20.54029669306323,1975,73.11696202531645
232,10,outer,74.3444956048556,80.0,16.372335242355376,7167,74.3444956048556
232,20,outer,70.84129492173146,80.0,20.063774956602384,27214,70.84129492173146
232,25,outer,69.29505506267392,79.0,21.891603860300584,42043,69.29505506267392
