handle,old_rating,new_rating,change,rank,contest_id,contest_name
include_BM,2180,2319,139,126,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
feeder1,2513,2561,48,127,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
chinerist,2645,2659,14,128,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
sansen,2713,2709,-4,129,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
BreakPlus,2281,2389,108,130,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
H_stove,2684,2687,3,131,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
shiomusubi496,2909,2855,-54,132,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
elhoicyv,2237,2356,119,133,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
EasonTAO,2618,2636,18,134,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
fr200110217102,2280,2386,106,135,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Rayo,2118,2269,151,136,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
asgcd,2442,2502,60,137,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Forested,2862,2817,-45,137,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
makrav,2524,2563,39,139,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Sugar_fan,3090,2987,-103,140,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
zltzlt,2628,2639,11,141,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
toam,2661,2663,2,142,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
8Conan8,2314,2406,92,143,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
nullptr_qwq,2452,2506,54,144,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
interlude,2143,2282,139,144,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
0x0002,2278,2378,100,146,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
DerrickLo,2240,2350,110,147,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
green_gold_dog,2777,2748,-29,148,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Misumi_aoi,1952,2147,195,149,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Caylex,2182,2307,125,150,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Noam527,2799,2763,-36,151,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
MAKMED1337,2353,2429,76,152,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
