rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected,problem_H_points,problem_H_penalty,problem_H_rejected,problem_I1_points,problem_I1_penalty,problem_I1_rejected,problem_I2_points,problem_I2_penalty,problem_I2_rejected
65,9628.0,0,CONTESTANT,OIer_kzc,496.0,0,0,979.0,0,0,1200.0,0,0,1634.0,0,0,1755.0,0,0,1820.0,0,0,0.0,0,0,0.0,0,0,1744.0,0,0,0.0,0,0
66,9623.0,0,CONTESTANT,Maksim1744,498.0,0,0,976.0,0,0,1204.0,0,0,1596.0,0,0,1707.0,0,0,1754.0,0,0,0.0,0,0,0.0,0,0,1888.0,0,0,0.0,0,0
67,9614.0,0,CONTESTANT,w2y51c318,498.0,0,0,918.0,0,1,1200.0,0,0,1601.0,0,0,1707.0,0,0,1884.0,0,1,0.0,0,0,0.0,0,0,1806.0,0,1,0.0,0,0
68,9596.0,0,CONTESTANT,ningning,498.0,0,0,984.0,0,0,1210.0,0,0,1610.0,0,0,1739.0,0,0,1387.0,0,0,0.0,0,0,0.0,0,0,2168.0,0,0,0.0,0,0
68,9596.0,0,CONTESTANT,yijw0930,496.0,0,0,974.0,0,0,1197.0,0,0,1606.0,0,0,1705.0,0,1,1730.0,0,1,0.0,0,0,0.0,0,0,1888.0,0,0,0.0,0,0
70,9593.0,0,CONTESTANT,Galetx,495.0,0,0,976.0,0,0,1207.0,0,0,1634.0,0,0,1755.0,0,0,1830.0,0,1,0.0,0,0,0.0,0,0,1696.0,0,0,0.0,0,0
71,9589.0,0,CONTESTANT,Daniel777,494.0,0,0,968.0,0,0,1187.0,0,0,1620.0,0,0,1718.0,0,0,1900.0,0,0,0.0,0,0,0.0,0,0,1702.0,0,1,0.0,0,0
72,9562.0,0,CONTESTANT,siganai,498.0,0,0,971.0,0,0,1180.0,0,0,1620.0,0,0,1728.0,0,0,1677.0,0,1,0.0,0,0,0.0,0,0,1888.0,0,0,0.0,0,0
73,9553.0,0,CONTESTANT,244mhq,496.0,0,0,982.0,0,0,1210.0,0,0,1592.0,0,0,1755.0,0,0,1734.0,0,2,0.0,0,2,0.0,0,0,1784.0,0,0,0.0,0,0
74,9551.0,0,CONTESTANT,PinkieRabbit,496.0,0,0,979.0,0,0,1210.0,0,0,1648.0,0,0,1723.0,0,0,1607.0,0,2,0.0,0,0,0.0,0,0,1888.0,0,0,0.0,0,0
75,9542.0,0,CONTESTANT,_Serge_,496.0,0,0,979.0,0,0,1200.0,0,0,1610.0,0,0,1766.0,0,0,1857.0,0,1,0.0,0,0,0.0,0,0,1634.0,0,3,0.0,0,0
76,9538.0,0,CONTESTANT,Dominater069,499.0,0,0,987.0,0,0,1210.0,0,0,1657.0,0,0,1803.0,0,0,1844.0,0,1,0.0,0,0,0.0,0,0,1538.0,0,3,0.0,0,0
77,9529.0,0,CONTESTANT,sharaelong,499.0,0,0,984.0,0,0,1214.0,0,0,1634.0,0,0,1787.0,0,0,1827.0,0,0,0.0,0,0,0.0,0,0,1584.0,0,0,0.0,0,0
78,9524.0,0,CONTESTANT,cmk666,498.0,0,0,984.0,0,0,1214.0,0,0,1676.0,0,0,1744.0,0,0,1784.0,0,3,0.0,0,0,0.0,0,0,1624.0,0,0,0.0,0,0
79,9509.0,0,CONTESTANT,yyyyxh,495.0,0,0,924.0,0,1,1194.0,0,0,1624.0,0,0,1744.0,0,0,1794.0,0,0,0.0,0,0,0.0,0,0,1734.0,0,1,0.0,0,0
80,9506.0,0,CONTESTANT,emorgan,495.0,0,0,974.0,0,0,1167.0,0,0,1540.0,0,0,1643.0,0,0,1767.0,0,0,0.0,0,0,0.0,0,0,1920.0,0,0,0.0,0,0
81,9503.0,0,CONTESTANT,Anonyme,498.0,0,0,974.0,0,0,1194.0,0,0,1514.0,0,1,1632.0,0,0,1827.0,0,0,0.0,0,0,0.0,0,0,1864.0,0,0,0.0,0,0
82,9476.0,0,CONTESTANT,Mapakaka,498.0,0,0,984.0,0,0,1217.0,0,0,1615.0,0,0,1670.0,0,0,1710.0,0,1,0.0,0,0,0.0,0,2,1782.0,0,1,0.0,0,0
83,9458.0,0,CONTESTANT,zjy2008,496.0,0,0,976.0,0,0,1210.0,0,0,1610.0,0,0,1675.0,0,0,1787.0,0,0,0.0,0,0,0.0,0,0,1704.0,0,0,0.0,0,0
84,9454.0,0,CONTESTANT,xuanxuan001,498.0,0,0,984.0,0,0,1177.0,0,0,1606.0,0,0,1771.0,0,0,1594.0,0,0,0.0,0,0,0.0,0,0,1824.0,0,0,0.0,0,0
85,9441.0,0,CONTESTANT,WRKRW,487.0,0,0,971.0,0,0,1187.0,0,0,1592.0,0,0,1691.0,0,0,1747.0,0,0,0.0,0,0,0.0,0,0,1766.0,0,1,0.0,0,0
86,9422.0,0,VIRTUAL,Vercingetorix,499.0,0,0,984.0,0,0,1207.0,0,0,1322.0,0,4,1664.0,0,0,1754.0,0,0,0.0,0,0,0.0,0,4,1992.0,0,0,0.0,0,0
87,9398.0,0,CONTESTANT,ndt23,496.0,0,0,979.0,0,0,1177.0,0,0,1582.0,0,0,1686.0,0,0,1774.0,0,0,0.0,0,0,0.0,0,0,1704.0,0,0,0.0,0,0
88,9394.0,0,CONTESTANT,makrav,498.0,0,0,984.0,0,0,1200.0,0,0,1578.0,0,0,1691.0,0,0,1747.0,0,0,0.0,0,0,0.0,0,0,1696.0,0,0,0.0,0,0
89,9390.0,0,CONTESTANT,platter,495.0,0,0,976.0,0,0,1200.0,0,0,1634.0,0,0,1712.0,0,0,1787.0,0,0,0.0,0,0,0.0,0,0,1586.0,0,3,0.0,0,0
90,9367.0,0,CONTESTANT,TKT_YI,496.0,0,0,984.0,0,0,1200.0,0,0,1601.0,0,0,1696.0,0,0,1874.0,0,0,0.0,0,0,0.0,0,0,1516.0,0,6,0.0,0,0
91,9363.0,0,CONTESTANT,Swistakk,490.0,0,0,987.0,0,0,1204.0,0,0,1559.0,0,0,1718.0,0,0,1767.0,0,0,0.0,0,0,0.0,0,0,1638.0,0,1,0.0,0,0
92,9356.0,0,CONTESTANT,Otomachi_Una,498.0,0,0,987.0,0,0,1207.0,0,0,1666.0,0,0,1808.0,0,0,1560.0,0,2,0.0,0,0,0.0,0,0,1630.0,0,1,0.0,0,0
93,9337.0,0,CONTESTANT,Liuxizai,494.0,0,0,966.0,0,0,1174.0,0,0,1596.0,0,0,1712.0,0,0,1707.0,0,0,0.0,0,0,0.0,0,0,1688.0,0,0,0.0,0,0
94,9324.0,0,VIRTUAL,RGB_ICPC1,498.0,0,0,979.0,0,0,1190.0,0,0,1550.0,0,0,1675.0,0,0,1600.0,0,0,0.0,0,0,0.0,0,0,1832.0,0,0,0.0,0,0
95,9323.0,0,CONTESTANT,SanguineChameleon,499.0,0,0,982.0,0,0,1214.0,0,0,1582.0,0,0,1691.0,0,0,1347.0,0,0,0.0,0,0,0.0,0,0,2008.0,0,0,0.0,0,0
96,9311.0,0,VIRTUAL,OIerGegu1019,438.0,0,1,947.0,0,0,1144.0,0,0,1559.0,0,0,1595.0,0,0,1780.0,0,0,0.0,0,0,0.0,0,0,1848.0,0,0,0.0,0,0
97,9292.0,0,CONTESTANT,Farhod,496.0,0,0,982.0,0,0,1207.0,0,0,1615.0,0,0,1766.0,0,0,1760.0,0,2,0.0,0,0,0.0,0,0,1466.0,0,3,0.0,0,0
98,9289.0,0,CONTESTANT,KevinWan,442.0,0,1,966.0,0,0,1187.0,0,0,1596.0,0,0,1648.0,0,0,1634.0,0,2,0.0,0,0,0.0,0,0,1816.0,0,0,0.0,0,0
99,9286.0,0,CONTESTANT,415411,495.0,0,0,971.0,0,0,1157.0,0,0,1568.0,0,0,1691.0,0,0,1740.0,0,0,0.0,0,1,0.0,0,1,1664.0,0,0,0.0,0,0
100,9257.0,0,VIRTUAL,HIR180,498.0,0,0,982.0,0,0,1180.0,0,0,1475.0,0,0,1408.0,0,0,1900.0,0,0,0.0,0,0,0.0,0,0,1814.0,0,1,0.0,0,0
101,9219.0,0,CONTESTANT,physics0523,498.0,0,0,968.0,0,0,1170.0,0,0,1578.0,0,0,1707.0,0,0,1610.0,0,1,0.0,0,0,0.0,0,0,1688.0,0,0,0.0,0,0
102,9191.0,0,CONTESTANT,djq_cpp,496.0,0,0,979.0,0,0,1157.0,0,0,1624.0,0,0,1051.0,0,0,2060.0,0,2,0.0,0,0,0.0,0,3,1824.0,0,0,0.0,0,0
103,9189.0,0,CONTESTANT,tkacper,498.0,0,0,982.0,0,0,1210.0,0,0,1584.0,0,1,1600.0,0,0,1667.0,0,0,0.0,0,0,0.0,0,0,1648.0,0,0,0.0,0,0
104,9188.0,0,VIRTUAL,peltorator,496.0,0,0,979.0,0,0,1207.0,0,0,1582.0,0,0,1750.0,0,0,1510.0,0,3,0.0,0,0,0.0,0,0,1664.0,0,0,0.0,0,0
105,9166.0,0,CONTESTANT,sevlll777,498.0,0,0,976.0,0,0,1200.0,0,0,1638.0,0,0,1664.0,0,0,1590.0,0,1,0.0,0,0,0.0,0,0,1600.0,0,0,0.0,0,0
106,9155.0,0,CONTESTANT,LuCpp,495.0,0,0,971.0,0,0,1184.0,0,0,1592.0,0,0,1595.0,0,0,1614.0,0,0,0.0,0,0,0.0,0,0,1704.0,0,0,0.0,0,0
107,9122.0,0,CONTESTANT,F.R.,494.0,0,0,955.0,0,0,1177.0,0,0,1573.0,0,0,1595.0,0,0,1544.0,0,1,0.0,0,0,0.0,0,0,1784.0,0,0,0.0,0,0
108,9096.0,0,CONTESTANT,umbrella-leaf,374.0,0,0,755.0,0,0,960.0,0,0,1368.0,0,0,1616.0,0,0,2227.0,0,0,0.0,0,0,0.0,0,0,1796.0,0,2,0.0,0,0
109,9018.0,0,CONTESTANT,fallleaves01,490.0,0,0,966.0,0,0,1184.0,0,0,1486.0,0,1,1550.0,0,1,1654.0,0,0,0.0,0,0,0.0,0,0,1688.0,0,0,0.0,0,0
110,8940.0,0,CONTESTANT,Xellos,495.0,0,0,974.0,0,0,1187.0,0,0,1624.0,0,0,1072.0,0,0,1854.0,0,0,0.0,0,0,0.0,0,0,1734.0,0,1,0.0,0,0
111,8928.0,0,CONTESTANT,BigYellowDuck,307.0,0,0,622.0,0,0,1204.0,0,0,1676.0,0,0,1824.0,0,0,1207.0,0,2,0.0,0,0,0.0,0,0,2088.0,0,0,0.0,0,0
112,8902.0,0,CONTESTANT,dario2994,496.0,0,0,921.0,0,1,1187.0,0,0,1517.0,0,0,1638.0,0,0,1487.0,0,2,0.0,0,0,0.0,0,0,1656.0,0,0,0.0,0,0
113,8888.0,0,CONTESTANT,leukocyte,456.0,0,0,904.0,0,0,1094.0,0,0,1489.0,0,0,1595.0,0,0,1760.0,0,0,0.0,0,0,0.0,0,0,1590.0,0,1,0.0,0,0
114,8864.0,0,CONTESTANT,Kude,498.0,0,0,939.0,0,0,1154.0,0,0,1573.0,0,0,1552.0,0,0,1540.0,0,0,0.0,0,0,0.0,0,0,1608.0,0,0,0.0,0,0
115,8848.0,0,CONTESTANT,orz,492.0,0,0,966.0,0,0,1120.0,0,1,1526.0,0,0,1632.0,0,0,1514.0,0,0,0.0,0,0,0.0,0,0,1598.0,0,1,0.0,0,0
116,8841.0,0,CONTESTANT,icecuber,487.0,0,0,902.0,0,1,1174.0,0,0,1522.0,0,0,1590.0,0,0,1534.0,0,0,0.0,0,0,0.0,0,0,1632.0,0,0,0.0,0,0
117,8664.0,0,CONTESTANT,pooty,492.0,0,0,966.0,0,0,1144.0,0,0,1470.0,0,0,1536.0,0,0,1440.0,0,2,0.0,0,0,0.0,0,0,1616.0,0,0,0.0,0,0
118,8366.0,0,CONTESTANT,GroupMatrix,498.0,0,0,984.0,0,0,1217.0,0,0,1676.0,0,0,1851.0,0,0,2140.0,0,0,0.0,0,10,0.0,0,0,0.0,0,0,0.0,0,0
119,8301.0,0,CONTESTANT,RNS_RDS,487.0,0,0,676.0,0,1,1020.0,0,1,1298.0,0,0,1686.0,0,0,1494.0,0,0,0.0,0,0,0.0,0,0,1640.0,0,0,0.0,0,0
