rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected,problem_H_points,problem_H_penalty,problem_H_rejected,problem_I1_points,problem_I1_penalty,problem_I1_rejected,problem_I2_points,problem_I2_penalty,problem_I2_rejected
7601,1266.0,0,CONTESTANT,D2009,484.0,0,0,782.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,Arvi_saleque,494.0,0,0,772.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,chicago007,476.0,0,0,0.0,0,2,790.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,Pranav_Sharda,488.0,0,0,778.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,EmKaanTheKing,476.0,0,0,790.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,Rosmontis233,492.0,0,0,774.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7601,1266.0,0,CONTESTANT,EpicFailure404,479.0,0,0,787.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,Akshat_Miskin,488.0,0,0,777.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,aditya.aparadh,487.0,0,0,778.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,Sukhbir_bachhal,488.0,0,0,0.0,0,4,777.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,pranav712mittal,478.0,0,0,787.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,azapro179,488.0,0,0,0.0,0,1,777.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,SAHAL01,414.0,0,1,851.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7611,1265.0,0,CONTESTANT,rishabhmishra_19,398.0,0,1,867.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,CONTESTANT,kapillohani023,482.0,0,0,782.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,VIRTUAL,Mk_Rahi,466.0,0,0,798.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,CONTESTANT,LR_Wahid,482.0,0,0,782.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,CONTESTANT,__Aviral__,488.0,0,0,776.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,CONTESTANT,Logic_Ninja,484.0,0,0,0.0,0,1,780.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7618,1264.0,0,CONTESTANT,Cecil_Ha,484.0,0,0,780.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,madmax5559,491.0,0,0,772.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Jin_Kazama_jalaun,486.0,0,0,777.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,ayush_039,367.0,0,2,896.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,_HARSHIT_2005,483.0,0,0,780.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Wanderer_Tanishq,484.0,0,0,779.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,maniac01,483.0,0,0,780.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Aaditya_the_coder,483.0,0,0,780.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Pirates__,486.0,0,0,777.0,0,1,0.0,0,11,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Hasnat0006,425.0,0,1,838.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Unknown_rebound,483.0,0,0,780.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7624,1263.0,0,CONTESTANT,Akshay2025,491.0,0,0,772.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,KyLen_Mou,494.0,0,0,768.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,DivyanshKumar,442.0,0,0,0.0,0,0,820.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,EtlaBroCF,492.0,0,0,770.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,theapexpredator_10,491.0,0,0,771.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,Margulis,474.0,0,0,788.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,lucaminiati,442.0,0,1,820.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,Anish_Prime,484.0,0,0,778.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,Meheraj_Alam,487.0,0,0,775.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,laxmisahani,480.0,0,0,782.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7635,1262.0,0,CONTESTANT,NODE_SM,490.0,0,0,772.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,VIRTUAL,Asura_5124,490.0,0,0,771.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Shrek.,482.0,0,0,779.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,AyushRaj3011,471.0,0,0,790.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Mrlime,487.0,0,0,774.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,notthisagain,490.0,0,0,771.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Sambit27,486.0,0,0,775.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Calypsoo,479.0,0,0,782.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Llayla,471.0,0,0,790.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,Art10em,487.0,0,0,774.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,jainuditkumar,487.0,0,0,774.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,adhityakant,486.0,0,0,775.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7645,1261.0,0,CONTESTANT,z_squared,460.0,0,0,801.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,elitexpert,480.0,0,0,780.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,VIRTUAL,EkkoTM,495.0,0,0,765.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,Legerdemain,486.0,0,0,774.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,ARISE,478.0,0,0,782.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,Baaqar-007,478.0,0,0,782.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,sergo895,483.0,0,0,777.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,waygeance,476.0,0,0,784.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,Lilpa,374.0,0,2,886.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,hit_7624,491.0,0,0,769.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7657,1260.0,0,CONTESTANT,N.M.M,326.0,0,3,934.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,Haider-Sultan,491.0,0,0,768.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,Limitless09,416.0,0,0,843.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,Satwik_Tillu,471.0,0,0,788.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,Limeadie,471.0,0,0,788.0,0,1,0.0,0,7,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,BeastRD,490.0,0,0,769.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,NagaRohithKumar,487.0,0,0,772.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,SLEMAN_PABLO_14,492.0,0,0,767.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,sharingan1007,482.0,0,0,777.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7667,1259.0,0,CONTESTANT,FalseShadow,474.0,0,0,785.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,Senya_24,482.0,0,0,776.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,Chagan_Nsut_2023UCD2154,488.0,0,0,0.0,0,0,770.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,gerogeVT,476.0,0,0,782.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,OmaarSaalehtwo,474.0,0,0,784.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,prakriti5x2_,470.0,0,0,788.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,devsharma14,458.0,0,0,800.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,UR_FAV_BANDA,460.0,0,0,798.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,gdbxcvgg,486.0,0,0,772.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7676,1258.0,0,CONTESTANT,Zen_ashes,466.0,0,0,792.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,sneha_k,483.0,0,0,774.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,__32801_altter_code_,488.0,0,0,769.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,rohitsatpute480,494.0,0,0,763.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,VIRTUAL,Feral_Striker,486.0,0,0,771.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,_Tonmoy_,494.0,0,0,763.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,ancuber1031,483.0,0,0,774.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7685,1257.0,0,CONTESTANT,ssmknuckles,483.0,0,0,774.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7692,1256.0,0,CONTESTANT,smahak_20,482.0,0,0,774.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7692,1256.0,0,CONTESTANT,meem_358,494.0,0,0,762.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7692,1256.0,0,CONTESTANT,KushalAgrawal,482.0,0,0,774.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7692,1256.0,0,CONTESTANT,DuongDomic,488.0,0,0,768.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,confused_ungabunga,480.0,0,0,775.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,nilesar,468.0,0,0,787.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,Boruto_Uzumaki_1,486.0,0,0,769.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,Bazinga...,486.0,0,0,769.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,Ayan_ansari,423.0,0,0,832.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,saket_kumar_07,476.0,0,0,779.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,YsKoushikreddy,463.0,0,0,792.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,iamsazidh,417.0,0,1,838.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7696,1255.0,0,CONTESTANT,arihantjain72000,479.0,0,0,776.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,aste_risk,483.0,0,0,771.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,sukumar_11,472.0,0,0,782.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,Tjha,467.0,0,0,787.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,Vatan,491.0,0,0,763.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,butters,488.0,0,0,766.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,zhongwenzhen,480.0,0,0,0.0,0,13,774.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,CONTESTANT,muser,480.0,0,0,774.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7705,1254.0,0,VIRTUAL,Chankya123,358.0,0,1,896.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,Rudra_786,447.0,0,0,806.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,AfterTheWinter,479.0,0,0,774.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,RVAN1102,425.0,0,1,828.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,0and1,482.0,0,0,771.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,Kannu2k,490.0,0,0,763.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,scott48,487.0,0,0,766.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,vanshulagarwal,484.0,0,0,769.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7713,1253.0,0,CONTESTANT,blueicecream,482.0,0,0,771.0,0,0,0.0,0,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7721,1252.0,0,CONTESTANT,FliccEatsBurger,494.0,0,0,758.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7721,1252.0,0,CONTESTANT,suren_015,488.0,0,0,764.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7721,1252.0,0,CONTESTANT,tourist9276,425.0,0,1,827.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,prashan01,487.0,0,0,764.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,sumitkumar121413,487.0,0,0,764.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,_Ahmed_Salah,464.0,0,0,787.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,ayushtiwari110,429.0,0,1,822.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,khushi_mishra,488.0,0,0,763.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,pratikranjan,482.0,0,0,769.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7724,1251.0,0,CONTESTANT,real_aady,492.0,0,0,759.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7731,1250.0,0,CONTESTANT,pasjans,479.0,0,0,771.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7731,1250.0,0,CONTESTANT,madhavnt006,434.0,0,1,816.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
