handle,old_rating,new_rating,change,rank,contest_id,contest_name
golomb,2232,2329,97,150,2029,Refact.ai Match 1 (Codeforces Round 985)
Fysty,2690,2667,-23,151,2029,Refact.ai Match 1 (Codeforces Round 985)
anango,2224,2322,98,152,2029,Refact.ai Match 1 (Codeforces Round 985)
cerberus97,2462,2495,33,153,2029,Refact.ai Match 1 (Codeforces Round 985)
lmcutezzz,2484,2511,27,154,2029,Refact.ai Match 1 (Codeforces Round 985)
shade34,1950,2129,179,155,2029,Refact.ai Match 1 (Codeforces Round 985)
PeruvianCartel,2190,2295,105,156,2029,Refact.ai Match 1 (Codeforces Round 985)
xxh1999,2277,2358,81,156,2029,Refact.ai Match 1 (Codeforces Round 985)
LKY928261,2566,2570,4,158,2029,Refact.ai Match 1 (Codeforces Round 985)
Giga_Cronos,2390,2439,49,159,2029,Refact.ai Match 1 (Codeforces Round 985)
torisasami,2634,2620,-14,160,2029,Refact.ai Match 1 (Codeforces Round 985)
Degalat57,2289,2364,75,161,2029,Refact.ai Match 1 (Codeforces Round 985)
Ronnie007,2617,2606,-11,162,2029,Refact.ai Match 1 (Codeforces Round 985)
yuanruiqi,2567,2568,1,162,2029,Refact.ai Match 1 (Codeforces Round 985)
TrivialMan,2115,2238,123,162,2029,Refact.ai Match 1 (Codeforces Round 985)
tabr,2687,2657,-30,165,2029,Refact.ai Match 1 (Codeforces Round 985)
KarinaOfGSHS41stLSB,2355,2410,55,165,2029,Refact.ai Match 1 (Codeforces Round 985)
shinchankosen,2393,2438,45,165,2029,Refact.ai Match 1 (Codeforces Round 985)
Nullptrs,2284,2357,73,168,2029,Refact.ai Match 1 (Codeforces Round 985)
awu,2359,2412,53,169,2029,Refact.ai Match 1 (Codeforces Round 985)
Enchom,2522,2532,10,170,2029,Refact.ai Match 1 (Codeforces Round 985)
Nelson_loh,2277,2351,74,171,2029,Refact.ai Match 1 (Codeforces Round 985)
pooty,2383,2428,45,171,2029,Refact.ai Match 1 (Codeforces Round 985)
_acsm_,2433,2464,31,173,2029,Refact.ai Match 1 (Codeforces Round 985)
LoboLobo,2238,2321,83,173,2029,Refact.ai Match 1 (Codeforces Round 985)
Hamed_Ghaffari,2307,2371,64,175,2029,Refact.ai Match 1 (Codeforces Round 985)
ArSarapkin,2284,2354,70,176,2029,Refact.ai Match 1 (Codeforces Round 985)
invertedwinger,2162,2266,104,177,2029,Refact.ai Match 1 (Codeforces Round 985)
Kaey,2392,2432,40,178,2029,Refact.ai Match 1 (Codeforces Round 985)
